GeoAreaName,MPA Percent
Afghanistan,NaN
Albania,67.28002
Algeria,74.49829
American Samoa,69.17841
Andorra,NaN
Angola,66.58023
Anguilla,23.22441
Antigua and Barbuda,18.84052
Argentina,45.09478
Armenia,NaN
Aruba,23.92437
Australia,66.01009
Austria,NaN
Azerbaijan,NaN
Bahamas,30.19912
Bahrain,0
Bangladesh,34.47046
Barbados,2.85094
Belarus,NaN
Belgium,96.85317
Belize,31.22072
Benin,0.00034
Bermuda,3.96821
Bhutan,NaN
Bolivia (Plurinational State of),NaN
"Bonaire, Sint Eustatius and Saba",73.52868
Bosnia and Herzegovina,NaN
Botswana,NaN
Bouvet Island,100
Brazil,66.46907
British Indian Ocean Territory,99.96581
British Virgin Islands,6.06051
Brunei Darussalam,5.4475
Bulgaria,99.65203
Burkina Faso,NaN
Burundi,NaN
Cabo Verde,14.11611
Cambodia,51.02787
Cameroon,NaN
Canada,38.58664
Cayman Islands,31.49795
Central African Republic,NaN
Chad,NaN
Chile,25.02304
China,7.07609
"China, Hong Kong Special Administrative Region",32.47819
"China, Macao Special Administrative Region",0
Christmas Island,62.89239
Cocos (Keeling) Islands,100
Colombia,56.56852
Comoros,13.65875
Congo,65.37212
Cook Islands,50.07458
Costa Rica,50.87323
Côte d'Ivoire,97.9013
Croatia,82.00143
Cuba,70.07209
Curaçao,44.79491
Cyprus,49.63632
Czechia,NaN
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,NaN
Denmark,86.74673
Djibouti,0
Dominica,0
Dominican Republic,81.38756
Ecuador,72.0273
Egypt,46.3839
El Salvador,46.55787
Equatorial Guinea,100
Eritrea,0
Estonia,97.62768
Eswatini,NaN
Ethiopia,NaN
Falkland Islands (Malvinas),18.31553
Faroe Islands,16.66667
Fiji,16.54836
Finland,60.85425
France,81.88238
French Guiana,54.30078
French Polynesia,0.02706
French Southern Territories,81.81818
Gabon,67.02698
Gambia,40.29928
Georgia,35.63764
Germany,80.79027
Ghana,19.55996
Gibraltar,0
Greece,86.59303
Greenland,29.67152
Grenada,30.2059
Guadeloupe,85.33954
Guam,3.53061
Guatemala,49.07708
Guernsey,11.01556
Guinea,69.28133
Guinea-Bissau,50.65535
Guyana,NaN
Haiti,24.63213
Heard Island and McDonald Islands,100
Honduras,41.01311
Hungary,NaN
Iceland,16.11976
India,4.22813
Indonesia,25.73356
Iran (Islamic Republic of),67.23041
Iraq,0
Ireland,83.16451
Isle of Man,24.64343
Israel,14.84263
Italy,78.04325
Jamaica,31.61718
Japan,66.49416
Jersey,44.08067
Jordan,NaN
Kazakhstan,44.08067
Kenya,40.44468
Kiribati,32.92221
Kuwait,32.07593
Kyrgyzstan,NaN
Lao People's Democratic Republic,NaN
Latvia,96.1636
Lebanon,10.76263
Lesotho,NaN
Liberia,96.65549
Libya,0
Liechtenstein,NaN
Lithuania,83.51997
Luxembourg,NaN
Madagascar,20.13902
Malawi,NaN
Malaysia,19.70108
Maldives,0
Mali,NaN
Malta,98.86151
Marshall Islands,7.84677
Martinique,96.66158
Mauritania,37.24046
Mauritius,11.05902
Mayotte,91.55881
Mexico,62.52795
Micronesia (Federated States of),1.60127
Mongolia,NaN
Montenegro,17.80823
Montserrat,9.00305
Morocco,57.95577
Mozambique,47.21682
Myanmar,19.2026
namibia,82.97783
nauru,0
nepal,NaN
netherlands (Kingdom of the),96.6463
new Caledonia,63.64201
new Zealand,46.53877
nicaragua,49.9473
niger,NaN
nigeria,0
niue,NaN
norfolk Island,27.70793
north Macedonia,NaN
northern Mariana Islands,48.02953
norway,55.13242
Oman,22.09957
Pakistan,14.58269
Palau,72.29471
Panama,40.30744
Papua new Guinea,1.89212
Paraguay,NaN
Peru,51.64216
Philippines,46.59326
Pitcairn,57.16839
Poland,87.31556
Portugal,70.76779
Puerto Rico,38.23838
Qatar,59.9873
Republic of Korea,38.69471
Republic of Moldova,NaN
Réunion,81.93343
Romania,88.60062
Russian Federation,22.84255
Rwanda,NaN
Saint Barthélemy,75.70558
Saint Helena,50
Saint Kitts and nevis,51.71861
Saint Lucia,26.24674
Saint Martin (French Part),89.08611
Saint Pierre and Miquelon,1.64152
Saint Vincent and the Grenadines,26.32751
Samoa,54.15513
Sao Tome and Principe,92.33685
Saudi Arabia,25.31032
Senegal,36.66312
Serbia,NaN
Seychelles,71.86949
Sierra Leone,60.15511
Singapore,3.25342
Sint Maarten (Dutch part),6.37502
Slovakia,NaN
Slovenia,62.72849
Solomon Islands,3.2201
Somalia,0
South Africa,52.71832
South Georgia and the South Sandwich Islands,66.49851
South Sudan,NaN
Spain,85.86279
Sri Lanka,49.97137
State of Palestine,NaN
Sudan,47.97011
Suriname,74.24433
Svalbard and Jan Mayen Islands,67.34212
Sweden,60.46026
Switzerland,NaN
Syrian Arab Republic,0
Tajikistan,NaN
Thailand,43.9834
Timor-Leste,19.61128
Togo,NaN
Tokelau,0
Tonga,19.16825
Trinidad and Tobago,8.49054
Tunisia,40.29626
Türkiye,3.84562
Turkmenistan,NaN
Turks and Caicos Islands,27.52435
Uganda,NaN
Ukraine,67.3599
United Arab Emirates,48.61051
United Kingdom of Great Britain and northern Ireland,81.23336
United Republic of Tanzania,53.55883
United States Minor Outlying Islands,91.25702
United States of America,37.39172
United States Virgin Islands,40.16939
Uruguay,53.78733
Uzbekistan,NaN
Vanuatu,3.30062
Venezuela (Bolivarian Republic of),59.40437
Viet nam,24.58874
Wallis and Futuna Islands,0
Yemen,30.64392
Zambia,NaN
Zimbabwe,NaN
